nohup: ignoring input
Data loaded | train: 200 | val: 40 | split: splitdefault
Trials complétés : 0 / 40 — restants : 40
Epoch 95/300 | train: 0.001003 | val: 0.000730 | lr: 1.00e-05 (no improvement for 3 epochs)
Epoch 96/300 | train: 0.001013 | val: 0.000693 | lr: 1.00e-05 (no improvement for 4 epochs)
Epoch 97/300 | train: 0.001023 | val: 0.000875 | lr: 1.00e-05 (no improvement for 5 epochs)
Epoch 98/300 | train: 0.001012 | val: 0.000791 | lr: 1.00e-05 (no improvement for 6 epochs)
Epoch 99/300 | train: 0.001007 | val: 0.000732 | lr: 1.00e-05 (no improvement for 7 epochs)
Epoch 100/300 | train: 0.001018 | val: 0.000728 | lr: 1.00e-05 (no improvement for 8 epochs)
Epoch 101/300 | train: 0.001005 | val: 0.000805 | lr: 5.00e-06 (no improvement for 9 epochs)
Epoch 102/300 | train: 0.000962 | val: 0.000688 | lr: 5.00e-06 (no improvement for 10 epochs)
Epoch 103/300 | train: 0.000943 | val: 0.000707 | lr: 5.00e-06 (no improvement for 11 epochs)
Epoch 104/300 | train: 0.000941 | val: 0.000656 | lr: 5.00e-06 (no improvement for 12 epochs)
Epoch 105/300 | train: 0.000938 | val: 0.000686 | lr: 5.00e-06 (no improvement for 13 epochs)
Epoch 106/300 | train: 0.000938 | val: 0.000677 | lr: 5.00e-06 (no improvement for 14 epochs)
Epoch 107/300 | train: 0.000936 | val: 0.000714 | lr: 5.00e-06 (no improvement for 15 epochs)
Epoch 108/300 | train: 0.000932 | val: 0.000653 | lr: 5.00e-06 (no improvement for 16 epochs)
Epoch 109/300 | train: 0.000929 | val: 0.000703 | lr: 5.00e-06 (no improvement for 17 epochs)
Epoch 110/300 | train: 0.000928 | val: 0.000654 | lr: 2.50e-06 (no improvement for 18 epochs)
Epoch 111/300 | train: 0.000921 | val: 0.000680 | lr: 2.50e-06 (no improvement for 19 epochs)
Epoch 112/300 | train: 0.000917 | val: 0.000697 | lr: 2.50e-06 (no improvement for 20 epochs)
